 num     #instances         #bytes  class name
 300:          1555          87080  org.apache.cassandra.io.compress.CompressionMetadata
 301:          1537          86072  org.apache.cassandra.io.sstable.IndexSummary
 302:          1537          86072  org.apache.cassandra.io.sstable.format.SSTableReader$InstanceTidier
 303:          2652          84864  org.apache.cassandra.utils.memory.MemtableAllocator$SubAllocator
 304:          3493          83832  sun.nio.ch.NativeThreadSet
 305:          5209          83344  java.util.concurrent.locks.ReentrantReadWriteLock$ReadLock
 306:          5209          83344  java.util.concurrent.locks.ReentrantReadWriteLock$Sync$ThreadLocalHoldCounter
 307:          5209          83344  java.util.concurrent.locks.ReentrantReadWriteLock$WriteLock
 308:           611          83096  com.codahale.metrics.Striped64$Cell
 309:          1480          82880  sun.nio.cs.US_ASCII$Encoder
 310:          3448          82752  com.google.common.collect.ImmutableMapEntry$TerminalEntry
 311:          1282          82048  sun.rmi.transport.ConnectionInputStream
 312:          3417          82008  org.apache.cassandra.io.util.ChannelProxy$Cleanup
 313:          3380          81120  org.apache.cassandra.db.commitlog.CommitLogPosition
 314:          4974          79584  com.google.common.collect.Iterables$3
 315:          1984          79360  com.google.common.collect.SingletonImmutableBiMap
 316:          1954          78160  org.apache.cassandra.utils.btree.BTree$Builder
 317:          2406          76992  java.net.Socket
 318:          1355          75880  org.apache.cassandra.db.rows.UnfilteredRowIteratorWithLowerBound
 319:           856          75328  org.apache.cassandra.db.PartitionRangeReadCommand
 320:          4674          74784  java.util.concurrent.atomic.AtomicReference
 321:          3109          74616  org.apache.cassandra.io.util.MmappedRegions
 322:          1296          73248  [Ljava.io.ObjectInputStream$HandleTable$HandleList;
 323:          3052          73248  org.apache.cassandra.utils.EstimatedHistogram
 324:          1282          71792  java.io.ObjectInputStream$BlockDataInputStream
 325:          1491          71568  org.apache.cassandra.db.partitions.UnfilteredPartitionIterators$Serializer$1
 326:          2226          71232  java.lang.ref.WeakReference
 327:          2201          70432  java.util.concurrent.locks.ReentrantLock$NonfairSync
 328:          1465          70320  java.util.concurrent.locks.ReentrantReadWriteLock$NonfairSync
 329:          2892          69408  java.util.stream.ReferencePipeline$2$1
 330:          2141          68512  java.util.TreeMap$ValueIterator
 331:          2136          68352  java.util.NoSuchElementException
 332:          4252          68032  org.apache.cassandra.db.transform.BaseIterator$Stop
 333:          1675          67000  org.apache.cassandra.utils.MergeIterator$ManyToOne
 334:          1182          66192  org.apache.cassandra.db.ReadCommand$1MetricRecording
 335:          2749          65976  java.util.Formatter$FixedString
 336:             7          65136  [Lcom.googlecode.concurrentlinkedhashmap.ConcurrentHashMapV8$Node;
 337:          2689          64536  org.apache.cassandra.concurrent.ExecutorLocals
 338:          1008          64512  org.apache.cassandra.service.ReadCallback
 339:          1326          63648  org.apache.cassandra.utils.memory.SlabAllocator
 340:          1962          62784  java.util.Hashtable$Entry
 341:          2611          62664  io.netty.util.concurrent.PromiseTask$RunnableAdapter
 342:          3916          62656  com.codahale.metrics.WeightedSnapshot$1
 343:          1953          62496  com.google.common.collect.Iterators$7
 344:          1526          61040  org.apache.cassandra.io.sstable.BloomFilterTracker
 345:          1087          60872  org.apache.cassandra.db.ClusteringPrefix$Deserializer
 346:          1087          60872  org.apache.cassandra.db.columniterator.SSTableIterator
 347:          1519          60760  com.google.common.collect.RegularImmutableSortedMap
 348:          1503          60120  org.apache.cassandra.db.lifecycle.LogTransaction$SSTableTidier
 349:          1064          59584  org.apache.cassandra.db.transform.UnfilteredRows
 350:          1057          59192  java.lang.Class$ReflectionData
 351:          1846          59072  org.apache.cassandra.net.OutboundTcpConnection$QueuedMessage
 352:          1050          58800  java.lang.invoke.MemberName
 353:          1837          58784  io.netty.buffer.PoolThreadCache$MemoryRegionCache$Entry
 354:          1211          58128  org.apache.cassandra.db.filter.DataLimits$CQLLimits$CQLCounter
 355:          1209          58032  org.apache.cassandra.metrics.DecayingEstimatedHistogramReservoir
 356:          1795          57440  java.util.concurrent.ConcurrentLinkedQueue$Itr
 357:          1782          57024  org.apache.cassandra.db.MultiCBuilder$OneClusteringBuilder
 358:          1182          56736  org.apache.cassandra.db.transform.UnfilteredPartitions
 359:          1415          56600  java.util.Spliterators$IteratorSpliterator
 360:          1766          56512  org.apache.cassandra.io.util.Memory
 361:          1174          56352  io.netty.buffer.SlicedAbstractByteBuf
 362:          3521          56336  java.nio.channels.spi.AbstractInterruptibleChannel$1
 363:           879          56256  io.netty.util.Recycler$Stack
 364:          3494          55904  sun.nio.ch.FileDispatcherImpl
 365:          1950          55672  [Lcom.google.common.collect.ImmutableMapEntry;
 366:          1135          54480  org.antlr.runtime.CommonToken
 367:          1702          54464  java.util.UUID
 368:          1358          54320  java.io.ObjectStreamClass$FieldReflectorKey
 369:          3366          53856  java.util.Formatter$Flags
 370:          2228          53472  org.apache.cassandra.utils.btree.BTreeSet
 371:          1087          52176  org.apache.cassandra.db.UnfilteredDeserializer$CurrentDeserializer
 372:          1629          52128  java.util.ArrayList$ArrayListSpliterator
 373:          1557          52048  [Ljava.util.Formatter$FormatString;
 374:          1071          51408  com.codahale.metrics.Meter
 375:          1282          51280  java.io.ObjectOutputStream$BlockDataOutputStream
 376:          1068          51264  java.nio.HeapCharBuffer
 377:          1271          50840  org.apache.cassandra.db.rows.UnfilteredRowIteratorSerializer$Header
 378:          1588          50816  java.io.DataInputStream
 379:          1573          50336  [Lcom.google.common.collect.ImmutableMapEntry$TerminalEntry;
 380:          3129          50064  org.apache.cassandra.io.util.MmappedRegions$Tidier
 381:          1559          49888  org.apache.cassandra.io.sstable.format.SSTableReader$GlobalTidy
 382:          1557          49824  java.util.Formatter
 383:          1555          49760  org.apache.cassandra.io.util.CompressedChunkReader$Mmap
 384:          1554          49728  org.apache.cassandra.io.util.MmapRebufferer
 385:          3103          49648  org.apache.cassandra.utils.concurrent.WrappedSharedCloseable$Tidy
 386:          1240          49600  org.apache.cassandra.concurrent.AbstractLocalAwareExecutorService$FutureTask
 387:          1546          49472  org.apache.cassandra.cache.ChunkCache$CachingRebufferer
 388:          1543          49376  com.google.common.collect.RegularImmutableSortedSet
 389:          1234          49360  org.apache.cassandra.db.partitions.PartitionUpdate
 390:          2055          49320  java.util.stream.ReferencePipeline$3$1
 391:          1230          49200  org.apache.cassandra.db.transform.FilteredPartitions
 392:          1537          49184  org.apache.cassandra.utils.BloomFilter
 393:          1508          48256  java.util.stream.Collectors$CollectorImpl
 394:          1508          48256  java.util.stream.ReduceOps$3
 395:          1508          48256  java.util.stream.ReduceOps$3ReducingSink
 396:          1988          47712  org.apache.cassandra.utils.btree.TreeBuilder
 397:          1182          47280  org.apache.cassandra.db.ReadCommand$1WithoutPurgeableTombstones
 398:          1169          46760  org.apache.cassandra.db.rows.Row$Merger
 399:          1169          46760  org.apache.cassandra.db.rows.Row$Merger$ColumnDataReducer
 400:          1421          45472  org.apache.cassandra.transport.Frame$Header
 401:          1892          45408  org.apache.cassandra.metrics.CassandraMetricsRegistry$JmxCounter
 402:           808          45248  java.util.concurrent.ConcurrentHashMap$ValueIterator
 403:          1111          44440  java.util.IdentityHashMap
 404:          1675          43824  [Lorg.apache.cassandra.utils.MergeIterator$Candidate;
 405:          1811          43464  org.apache.cassandra.net.MessageDeliveryTask
 406:           896          43008  org.apache.cassandra.metrics.CassandraMetricsRegistry$JmxTimer
 407:           114          42864  java.lang.Thread
